time,op,hi,lo,cl,10ma,25ma,75ma
2016/08/31 07:00:00,102.976,103.531,102.861,103.35650000000001,100.86134999999999,101.56230000000001,104.4659333333333
2016/09/01 07:00:00,103.35650000000001,103.999,103.065,103.23349999999999,101.17389999999999,101.48465999999999,104.37490666666663
2016/09/02 07:00:00,103.23349999999999,104.318,102.803,103.9365,101.50444999999999,101.40263999999998,104.2852533333333
2016/09/05 07:00:00,104.05850000000001,104.123,103.148,103.42949999999999,101.876,101.47623999999996,104.20274666666663
2016/09/06 07:00:00,103.42949999999999,103.805,101.93,102.09450000000001,102.18615,101.51885999999999,104.12541999999998
2016/09/07 07:00:00,102.09450000000001,102.13,101.205,101.71799999999999,102.37599999999999,101.56573999999999,104.02023333333328
2016/09/08 07:00:00,101.71799999999999,102.6,101.416,102.4,102.50104999999999,101.58376,103.90747999999996
2016/09/09 07:00:00,102.4,103.055,101.971,102.6885,102.68675,101.63284,103.80941999999996
2016/09/12 07:00:00,102.5685,102.665,101.57,101.9265,102.77284999999999,101.66852,103.70812666666664
2016/09/13 07:00:00,101.9265,102.747,101.425,102.55350000000001,102.77595,101.64886000000003,103.5852266666666
2016/09/14 07:00:00,102.55350000000001,103.357,102.255,102.34899999999999,102.7337,101.67672000000002,103.47611999999995
2016/09/15 07:00:00,102.34899999999999,102.754,101.944,102.0495,102.63294999999998,101.72320000000003,103.38126666666662
2016/09/16 07:00:00,102.0495,102.463,101.764,102.26750000000001,102.51455000000001,101.72806000000003,103.29057999999995
2016/09/19 07:00:00,102.2615,102.419,101.584,101.8495,102.34765,101.76642,103.23369999999998
2016/09/20 07:00:00,101.8495,102.064,101.543,101.73400000000001,102.18965,101.78966,103.15784666666664
2016/09/21 07:00:00,101.73400000000001,102.784,100.303,100.436,102.15360000000001,101.848,103.08322666666665
2016/09/22 07:00:00,100.436,100.93,100.097,100.793,102.02540000000002,101.85619999999999,102.99720666666666
2016/09/23 07:00:00,100.793,101.243,100.677,101.0145,101.86470000000001,101.8908,102.91499333333331
2016/09/26 07:00:00,101.017,101.078,100.249,100.309,101.69730000000001,101.92254000000001,102.83568666666665
2016/09/27 07:00:00,100.309,100.99,100.097,100.412,101.53555000000001,101.92178000000004,102.75809333333333
2016/09/28 07:00:00,100.412,100.819,100.265,100.725,101.32140000000001,101.93042,102.68335999999998
2016/09/29 07:00:00,100.725,101.84,100.703,101.1,101.15900000000002,101.94072,102.61314000000002
2016/09/30 07:00:00,101.1,101.763,100.749,101.3425,101.06405000000001,101.96299999999998,102.57012666666667
2016/10/03 07:00:00,101.3315,101.659,101.212,101.64,100.97155000000001,101.94359999999999,102.53239333333332
2016/10/04 07:00:00,101.64,102.968,101.609,102.903,100.95060000000001,101.93337999999999,102.50114666666666
2016/10/05 07:00:00,102.903,103.665,102.674,103.5265,101.06750000000001,101.93045999999998,102.47622000000001
2016/10/06 07:00:00,103.5265,104.159,103.348,103.977,101.37655,101.93725999999998,102.45908666666669
2016/10/07 07:00:00,103.977,103.994,102.86,102.91149999999999,101.69495,101.96699999999997,102.4240066666667
2016/10/10 07:00:00,103.1485,103.785,102.814,103.6455,101.88465000000001,101.92599999999997,102.43324666666669
2016/10/11 07:00:00,103.6455,104.071,103.175,103.561,102.21829999999999,101.93464,102.45652000000001
2016/10/12 07:00:00,103.561,104.481,103.284,104.24549999999999,102.53320000000001,101.99330000000002,102.46779333333335
2016/10/13 07:00:00,104.24549999999999,104.634,103.335,103.66749999999999,102.88525,102.09440000000001,102.48566666666667
2016/10/14 07:00:00,103.66749999999999,104.477,103.611,104.1685,103.14200000000001,102.14510000000001,102.49060666666666
2016/10/17 07:00:00,104.32900000000001,104.372,103.792,103.892,103.42460000000001,102.2043,102.51258
2016/10/18 07:00:00,103.892,104.199,103.683,103.876,103.6498,102.28292000000002,102.53065333333333
2016/10/19 07:00:00,103.876,103.948,103.171,103.39,103.7471,102.33582000000003,102.55940666666666
2016/10/20 07:00:00,103.39,104.103,103.345,103.97149999999999,103.73345000000002,102.37746000000001,102.58616000000002
2016/10/21 07:00:00,103.97149999999999,104.203,103.526,103.82749999999999,103.7329,102.45434000000002,102.62894666666666
2016/10/24 07:00:00,103.849,104.32,103.722,104.22999999999999,103.82449999999999,102.51674000000001,102.67265333333334
